step,total_cost,total_scaled_cost,average_cost_per_plane,total_lateness,total_scaled_lateness,average_lateness_per_plane,total_steps,average_steps,total_waiting_steps,total_waiting_to_process_steps,total_waiting_for_route_steps,max_seconds_to_complete,total_malfunctions,missed_deliveries,total_rewards_for_all_agents,average_rewards_for_all_agents,score,total_cargo_generated,dynamic_cargo_generated
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,590,0,0,0,0,0.0,40,0
1,0.23735311412805946,0.04495832194509154,0.11867655706402973,0,0.0,0.0,1,0.5,0,0,0,600,2,0,-0.0004747,-0.00023735,0.00044958321945091543,40,0
2,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,2,1.0,0,0,0,610,2,0,-0.0014077999999999999,-0.0007038999999999999,0.0014046691352725192,40,0
3,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,3,1.5,0,0,0,620,4,0,-0.0023409,-0.00117045,0.0014046691352725192,40,0
4,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,4,2.0,0,0,0,630,6,0,-0.003274,-0.001637,0.0014046691352725192,40,0
5,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,5,2.5,0,0,0,640,8,0,-0.0042071,-0.00210355,0.0014046691352725192,40,0
6,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,6,3.0,0,0,0,650,8,0,-0.005140199999999999,-0.0025700999999999996,0.0014046691352725192,40,0
7,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,7,3.5,0,0,0,660,8,0,-0.005598599999999999,-0.0027992999999999994,0.0014046691352725192,40,0
8,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,8,4.0,1,1,0,670,8,0,-0.006056999999999999,-0.0030284999999999995,0.0014046691352725192,40,0
9,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,9,4.5,1,1,0,680,8,0,-0.006515399999999999,-0.0032576999999999997,0.0014046691352725192,40,0
10,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,10,5.0,1,1,0,690,10,0,-0.0074484999999999985,-0.0037242499999999993,0.0018542523547234345,40,0
11,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,11,5.5,1,1,0,700,10,0,-0.0083816,-0.0041908,0.0018542523547234345,40,0
12,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,12,6.0,1,1,0,710,10,0,-0.009314699999999999,-0.004657349999999999,0.0018542523547234345,40,0
13,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,13,6.5,1,1,0,720,10,0,-0.010247799999999998,-0.005123899999999999,0.0018542523547234345,40,0
14,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,14,7.0,1,1,0,730,12,0,-0.0107225,-0.00536125,0.0018542523547234345,40,0
15,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,15,7.5,2,2,0,740,12,0,-0.011197199999999997,-0.005598599999999999,0.0018542523547234345,40,0
16,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,16,8.0,2,2,0,750,12,0,-0.011197199999999997,-0.005598599999999999,0.0018542523547234345,40,0
17,1.8195884404770284,0.3446579717947015,0.9097942202385142,0,0.0,0.0,17,8.5,3,3,0,760,14,0,-0.0116917,-0.00584585,0.0034465797179470147,40,0
18,1.8195884404770284,0.3446579717947015,0.9097942202385142,0,0.0,0.0,18,9.0,3,3,0,770,14,0,-0.012186199999999998,-0.006093099999999999,0.0034465797179470147,40,0
19,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,19,9.5,3,3,0,780,14,0,-0.013175199999999998,-0.006587599999999999,0.005038907081170595,40,0
20,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,20,10.0,3,3,0,790,14,0,-0.014164199999999998,-0.007082099999999999,0.005038907081170595,40,0
21,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,21,10.5,3,3,0,800,14,0,-0.015153199999999999,-0.007576599999999999,0.005038907081170595,40,0
22,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,22,11.0,3,3,0,810,14,0,-0.0161422,-0.0080711,0.005038907081170595,40,0
23,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,23,11.5,3,3,0,820,14,0,-0.0171312,-0.0085656,0.005038907081170595,40,0
24,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,24,12.0,3,3,0,830,14,0,-0.0181202,-0.0090601,0.005038907081170595,40,0
25,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,25,12.5,3,3,0,840,14,0,-0.0191092,-0.0095546,0.005038907081170595,40,0
26,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,26,13.0,3,3,0,850,14,0,-0.0200982,-0.0100491,0.005038907081170595,40,0
27,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,27,13.5,3,3,0,860,16,0,-0.0210872,-0.0105436,0.005038907081170595,40,0
28,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,28,14.0,3,3,0,870,16,0,-0.0220762,-0.0110381,0.005038907081170595,40,0
29,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,29,14.5,3,3,0,880,16,0,-0.0230652,-0.0115326,0.005038907081170595,40,0
30,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,30,15.0,3,3,0,890,16,0,-0.0240542,-0.0120271,0.005038907081170595,40,0
31,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,31,15.5,3,3,0,900,16,0,-0.0250432,-0.0125216,0.005038907081170595,40,0
32,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,32,16.0,3,3,0,910,16,0,-0.026032200000000002,-0.013016100000000001,0.005038907081170595,40,0
33,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,33,16.5,3,3,0,920,16,0,-0.027021200000000002,-0.013510600000000001,0.005038907081170595,40,0
34,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,34,17.0,3,3,0,930,18,0,-0.028010200000000002,-0.014005100000000001,0.005038907081170595,40,0
35,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,35,17.5,3,3,0,940,18,0,-0.0285047,-0.01425235,0.005038907081170595,40,0
36,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,36,18.0,4,4,0,950,18,0,-0.028999200000000003,-0.014499600000000001,0.005038907081170595,40,0
37,2.660242277232832,0.5038907081170595,1.330121138616416,0,0.0,0.0,37,18.5,4,4,0,960,18,0,-0.028999200000000003,-0.014499600000000001,0.005038907081170595,40,0
38,2.897595391360891,0.548849030062151,1.4487976956804456,0,0.0,0.0,38,19.0,5,5,0,970,20,0,-0.029473900000000004,-0.014736950000000002,0.005488490300621511,40,0
39,2.897595391360891,0.548849030062151,1.4487976956804456,0,0.0,0.0,39,19.5,5,5,0,980,20,0,-0.029948600000000002,-0.014974300000000001,0.005488490300621511,40,0
40,2.897595391360891,0.548849030062151,1.4487976956804456,0,0.0,0.0,40,20.0,5,5,0,990,20,0,-0.030423300000000004,-0.015211650000000002,0.005488490300621511,40,0
41,3.6584288337869477,0.6929625588727645,1.8292144168934739,0,0.0,0.0,41,20.5,5,5,0,1000,20,0,-0.031373500000000006,-0.015686750000000003,0.006929625588727645,40,0
42,3.6584288337869477,0.6929625588727645,1.8292144168934739,0,0.0,0.0,42,21.0,5,5,0,1010,24,0,-0.03232370000000001,-0.016161850000000005,0.006929625588727645,40,0
43,3.6584288337869477,0.6929625588727645,1.8292144168934739,0,0.0,0.0,43,21.5,5,5,0,1020,24,0,-0.03327390000000001,-0.016636950000000005,0.006929625588727645,40,0
44,3.6584288337869477,0.6929625588727645,1.8292144168934739,0,0.0,0.0,44,22.0,5,5,0,1030,24,0,-0.03374940000000001,-0.016874700000000006,0.006929625588727645,40,0
45,3.6584288337869477,0.6929625588727645,1.8292144168934739,0,0.0,0.0,45,22.5,6,6,0,1040,24,0,-0.03422490000000001,-0.017112450000000005,0.006929625588727645,40,0
46,3.6584288337869477,0.6760610330465995,1.8292144168934739,0,0.0,0.0,46,23.0,6,6,0,1050,24,0,-0.034700400000000006,-0.017350200000000003,0.006760610330465995,41,1
47,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,47,23.5,6,6,0,1060,26,0,-0.03566770000000001,-0.017833850000000005,0.008396402751576423,41,1
48,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,48,24.0,6,6,0,1070,28,0,-0.036635000000000015,-0.018317500000000007,0.008396402751576423,41,1
49,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,49,24.5,6,6,0,1080,28,0,-0.03760230000000001,-0.018801150000000006,0.008396402751576423,41,1
50,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,50,25.0,6,6,0,1090,28,0,-0.03856960000000001,-0.019284800000000005,0.008396402751576423,41,1
51,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,51,25.5,6,6,0,1100,28,0,-0.039536900000000014,-0.019768450000000007,0.008396402751576423,41,1
52,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,52,26.0,6,6,0,1110,30,0,-0.04050420000000002,-0.02025210000000001,0.008396402751576423,41,1
53,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,53,26.5,6,6,0,1120,30,0,-0.041471500000000015,-0.020735750000000008,0.008396402751576423,41,1
54,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,54,27.0,6,6,0,1130,30,0,-0.04243880000000001,-0.021219400000000006,0.008396402751576423,41,1
55,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,55,27.5,6,6,0,1140,30,0,-0.04340610000000002,-0.02170305000000001,0.008396402751576423,41,1
56,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,56,28.0,6,6,0,1150,30,0,-0.04437340000000002,-0.02218670000000001,0.008396402751576423,41,1
57,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,57,28.5,6,6,0,1160,32,0,-0.04534070000000002,-0.02267035000000001,0.008396402751576423,41,1
58,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,58,29.0,6,6,0,1170,34,0,-0.04583250000000002,-0.02291625000000001,0.008396402751576423,41,1
59,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,59,29.5,7,7,0,1180,34,0,-0.04632430000000002,-0.02316215000000001,0.008396402751576423,41,1
60,4.543619647479068,0.8396402751576423,2.271809823739534,0,0.0,0.0,60,30.0,7,7,0,1190,34,0,-0.04681610000000002,-0.02340805000000001,0.008396402751576423,41,1
61,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,61,30.5,7,7,0,1200,34,0,-0.04778250000000002,-0.02389125000000001,0.0088349528852097,41,1
62,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,62,31.0,7,7,0,1210,34,0,-0.04874890000000002,-0.02437445000000001,0.0088349528852097,41,1
63,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,63,31.5,7,7,0,1220,34,0,-0.04971530000000002,-0.02485765000000001,0.0088349528852097,41,1
64,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,64,32.0,7,7,0,1230,34,0,-0.05068170000000002,-0.02534085000000001,0.0088349528852097,41,1
65,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,65,32.5,7,7,0,1240,34,0,-0.051648100000000016,-0.025824050000000008,0.0088349528852097,41,1
66,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,66,33.0,7,7,0,1250,34,0,-0.052122700000000015,-0.026061350000000007,0.0088349528852097,41,1
67,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,67,33.5,8,8,0,1260,34,0,-0.052122700000000015,-0.026061350000000007,0.0088349528852097,41,1
68,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,68,34.0,9,9,0,1270,34,0,-0.052122700000000015,-0.026061350000000007,0.0088349528852097,41,1
69,4.780936158196306,0.88349528852097,2.390468079098153,0,0.0,0.0,69,34.5,9,9,0,1280,34,0,-0.052122700000000015,-0.026061350000000007,0.0088349528852097,41,1
70,5.018252668913545,0.927350301884298,2.5091263344567727,0,0.0,0.0,70,35.0,9,9,0,1290,34,0,-0.052597300000000013,-0.026298650000000007,0.00927350301884298,41,1
71,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,71,35.5,9,9,0,1300,38,0,-0.05356370000000001,-0.026781850000000006,0.010909295439953408,41,1
72,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,72,36.0,9,9,0,1310,38,0,-0.05453010000000001,-0.027265050000000006,0.010909295439953408,41,1
73,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,73,36.5,9,9,0,1320,38,0,-0.05549650000000001,-0.027748250000000006,0.010909295439953408,41,1
74,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,74,37.0,9,9,0,1330,38,0,-0.05646290000000001,-0.028231450000000005,0.010909295439953408,41,1
75,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,75,37.5,9,9,0,1340,38,0,-0.05742930000000001,-0.028714650000000005,0.010909295439953408,41,1
76,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,76,38.0,9,9,0,1350,38,0,-0.05792110000000001,-0.028960550000000005,0.010909295439953408,41,1
77,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,77,38.5,10,10,0,1360,38,0,-0.05841290000000001,-0.029206450000000005,0.010909295439953408,41,1
78,5.903443482605666,1.0909295439953408,2.951721741302833,0,0.0,0.0,78,39.0,10,10,0,1370,38,0,-0.05890470000000001,-0.029452350000000006,0.010909295439953408,41,1
79,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,79,39.5,10,10,0,1380,38,0,-0.059861600000000015,-0.029930800000000007,0.012112685412087095,41,1
80,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,80,40.0,10,10,0,1390,38,0,-0.06081850000000001,-0.030409250000000006,0.012112685412087095,41,1
81,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,81,40.5,10,10,0,1400,40,0,-0.06177540000000001,-0.030887700000000004,0.012112685412087095,41,1
82,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,82,41.0,10,10,0,1410,40,0,-0.06273230000000002,-0.03136615000000001,0.012112685412087095,41,1
83,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,83,41.5,10,10,0,1420,40,0,-0.06368920000000002,-0.03184460000000001,0.012112685412087095,41,1
84,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,84,42.0,10,10,0,1430,40,0,-0.06464610000000001,-0.032323050000000006,0.012112685412087095,41,1
85,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,85,42.5,10,10,0,1440,40,0,-0.06560300000000002,-0.03280150000000001,0.012112685412087095,41,1
86,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,86,43.0,10,10,0,1450,40,0,-0.06655990000000002,-0.03327995000000001,0.012112685412087095,41,1
87,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,87,43.5,10,10,0,1460,42,0,-0.06751680000000002,-0.03375840000000001,0.012112685412087095,41,1
88,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,88,44.0,10,10,0,1470,42,0,-0.06847370000000003,-0.03423685000000001,0.012112685412087095,41,1
89,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,89,44.5,10,10,0,1480,42,0,-0.06943060000000004,-0.03471530000000002,0.012112685412087095,41,1
90,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,90,45.0,10,10,0,1490,42,0,-0.06989570000000003,-0.034947850000000016,0.012112685412087095,41,1
91,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,91,45.5,11,11,0,1500,44,0,-0.07036080000000003,-0.035180400000000014,0.012112685412087095,41,1
92,6.55464453652597,1.2112685412087094,3.277322268262985,0,0.0,0.0,92,46.0,11,11,0,1510,46,0,-0.07082590000000004,-0.03541295000000002,0.012112685412087095,41,1
93,6.739221517115832,1.2453775289309155,3.369610758557916,0,0.0,0.0,93,46.5,11,11,0,1520,48,0,-0.07175240000000005,-0.035876200000000025,0.012453775289309155,41,1
94,6.739221517115832,1.2453775289309155,3.369610758557916,0,0.0,0.0,94,47.0,11,11,0,1530,48,0,-0.07221380000000005,-0.036106900000000025,0.012453775289309155,41,1
95,6.739221517115832,1.2453775289309155,3.369610758557916,0,0.0,0.0,95,47.5,12,12,0,1540,48,0,-0.07267520000000005,-0.036337600000000025,0.012453775289309155,41,1
96,6.739221517115832,1.2453775289309155,3.369610758557916,0,0.0,0.0,96,48.0,12,12,0,1550,48,0,-0.07313660000000005,-0.036568300000000026,0.012453775289309155,41,1
97,6.739221517115832,1.2453775289309155,3.369610758557916,0,0.0,0.0,97,48.5,12,12,0,1560,48,0,-0.07359800000000005,-0.036799000000000026,0.012453775289309155,41,1
98,7.390422571036135,1.3657165261442843,3.6952112855180674,0,0.0,0.0,98,49.0,12,12,0,1570,48,0,-0.07406310000000005,-0.037031550000000024,0.013657165261442844,41,1
99,7.390422571036135,1.3657165261442843,3.6952112855180674,0,0.0,0.0,99,49.5,13,13,0,1580,50,0,-0.07452820000000004,-0.03726410000000002,0.013657165261442844,41,1
100,7.390422571036135,1.3657165261442843,3.6952112855180674,0,0.0,0.0,100,50.0,13,13,0,1590,50,0,-0.07499330000000005,-0.03749665000000003,0.013657165261442844,41,1
101,7.479697949721025,1.3822142106644604,3.7398489748605126,0,0.0,0.0,101,50.5,13,13,0,1600,50,0,-0.07590480000000005,-0.037952400000000025,0.013822142106644604,41,1
102,7.479697949721025,1.3822142106644604,3.7398489748605126,0,0.0,0.0,102,51.0,13,13,0,1610,50,0,-0.07681630000000006,-0.03840815000000003,0.013822142106644604,41,1
103,7.479697949721025,1.3822142106644604,3.7398489748605126,0,0.0,0.0,103,51.5,13,13,0,1620,50,0,-0.07772780000000007,-0.038863900000000035,0.013822142106644604,41,1
104,7.479697949721025,1.3822142106644604,3.7398489748605126,0,0.0,0.0,104,52.0,13,13,0,1630,50,0,-0.07819290000000007,-0.03909645000000003,0.013822142106644604,41,1
105,7.479697949721025,1.3822142106644604,3.7398489748605126,0,0.0,0.0,105,52.5,14,14,0,1640,50,0,-0.07865800000000006,-0.03932900000000003,0.013822142106644604,41,1
106,7.479697949721025,1.3493043485057827,3.7398489748605126,0,0.0,0.0,106,53.0,14,14,0,1650,50,0,-0.07912310000000007,-0.039561550000000036,0.013493043485057827,42,2
107,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,107,53.5,14,14,0,1660,50,0,-0.08006290000000008,-0.04003145000000004,0.013921217979772985,42,2
108,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,108,54.0,14,14,0,1670,50,0,-0.08100270000000008,-0.04050135000000004,0.013921217979772985,42,2
109,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,109,54.5,14,14,0,1680,50,0,-0.08194250000000008,-0.04097125000000004,0.013921217979772985,42,2
110,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,110,55.0,14,14,0,1690,50,0,-0.08288230000000009,-0.041441150000000045,0.013921217979772985,42,2
111,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,111,55.5,14,14,0,1700,52,0,-0.0838221000000001,-0.04191105000000005,0.013921217979772985,42,2
112,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,112,56.0,14,14,0,1710,52,0,-0.0847619000000001,-0.04238095000000005,0.013921217979772985,42,2
113,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,113,56.5,14,14,0,1720,52,0,-0.0847619000000001,-0.04238095000000005,0.013921217979772985,42,2
114,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,114,57.0,16,16,0,1730,52,0,-0.0847619000000001,-0.04238095000000005,0.013921217979772985,42,2
115,7.717051063849085,1.3921217979772984,3.8585255319245424,0,0.0,0.0,115,57.5,16,16,0,1740,54,0,-0.0847619000000001,-0.04238095000000005,0.013921217979772985,42,2
116,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,116,58.0,16,16,0,1750,54,0,-0.0856870000000001,-0.04284350000000005,0.015007099226575954,42,2
117,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,117,58.5,16,16,0,1760,54,0,-0.0866121000000001,-0.04330605000000005,0.015007099226575954,42,2
118,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,118,59.0,16,16,0,1770,54,0,-0.08753720000000009,-0.043768600000000046,0.015007099226575954,42,2
119,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,119,59.5,16,16,0,1780,54,0,-0.08846230000000009,-0.044231150000000045,0.015007099226575954,42,2
120,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,120,60.0,16,16,0,1790,54,0,-0.08938740000000009,-0.044693700000000045,0.015007099226575954,42,2
121,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,121,60.5,16,16,0,1800,54,0,-0.08985110000000009,-0.04492555000000004,0.015007099226575954,42,2
122,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,122,61.0,17,17,0,1810,54,0,-0.09031480000000008,-0.04515740000000004,0.015007099226575954,42,2
123,8.318995595069712,1.5007099226575953,4.159497797534856,0,0.0,0.0,123,61.5,17,17,0,1820,54,0,-0.09077850000000008,-0.04538925000000004,0.015007099226575954,42,2
124,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,124,62.0,17,17,0,1830,54,0,-0.09171720000000008,-0.04585860000000004,0.015606883253443886,42,2
125,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,125,62.5,17,17,0,1840,54,0,-0.09265590000000008,-0.04632795000000004,0.015606883253443886,42,2
126,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,126,63.0,17,17,0,1850,54,0,-0.09313090000000009,-0.04656545000000004,0.015606883253443886,42,2
127,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,127,63.5,18,18,0,1860,56,0,-0.09360590000000009,-0.046802950000000045,0.015606883253443886,42,2
128,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,128,64.0,18,18,0,1870,60,0,-0.09408090000000009,-0.047040450000000046,0.015606883253443886,42,2
129,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,129,64.5,18,18,0,1880,60,0,-0.0945559000000001,-0.04727795000000005,0.015606883253443886,42,2
130,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,130,65.0,18,18,0,1890,62,0,-0.0950309000000001,-0.04751545000000005,0.015606883253443886,42,2
131,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,131,65.5,18,18,0,1900,62,0,-0.0955059000000001,-0.04775295000000005,0.015606883253443886,42,2
132,8.651478282241625,1.5606883253443886,4.325739141120812,0,0.0,0.0,132,66.0,18,18,0,1910,62,0,-0.0955059000000001,-0.04775295000000005,0.015606883253443886,42,2
133,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,133,66.5,19,19,0,1920,62,0,-0.0960004000000001,-0.04800020000000005,0.01712338550413301,42,2
134,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,134,67.0,19,19,0,1930,62,0,-0.0964949000000001,-0.04824745000000005,0.01712338550413301,42,2
135,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,135,67.5,19,19,0,1940,62,0,-0.09698940000000011,-0.04849470000000006,0.01712338550413301,42,2
136,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,136,68.0,19,19,0,1950,64,0,-0.09748390000000011,-0.048741950000000055,0.01712338550413301,42,2
137,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,137,68.5,19,19,0,1960,64,0,-0.0979784000000001,-0.04898920000000005,0.01712338550413301,42,2
138,9.492132118997429,1.712338550413301,4.746066059498714,0,0.0,0.0,138,69.0,19,19,0,1970,64,0,-0.09847290000000011,-0.04923645000000006,0.01712338550413301,42,2
139,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,139,69.5,19,19,0,1980,64,0,-0.09944200000000011,-0.04972100000000006,0.01755149396791788,42,2
140,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,140,70.0,19,19,0,1990,64,0,-0.10041110000000011,-0.05020555000000006,0.01755149396791788,42,2
141,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,141,70.5,19,19,0,2000,64,0,-0.10138020000000011,-0.05069010000000006,0.01755149396791788,42,2
142,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,142,71.0,19,19,0,2010,64,0,-0.10234930000000012,-0.05117465000000006,0.01755149396791788,42,2
143,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,143,71.5,19,19,0,2020,64,0,-0.10331840000000012,-0.05165920000000006,0.01755149396791788,42,2
144,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,144,72.0,19,19,0,2030,64,0,-0.10428750000000012,-0.05214375000000006,0.01755149396791788,42,2
145,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,145,72.5,19,19,0,2040,64,0,-0.10478200000000013,-0.05239100000000006,0.01755149396791788,42,2
146,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,146,73.0,20,20,0,2050,64,0,-0.10527650000000012,-0.05263825000000006,0.01755149396791788,42,2
147,9.729448629714668,1.7551493967917877,4.864724314857334,0,0.0,0.0,147,73.5,20,20,0,2060,64,0,-0.10577100000000011,-0.05288550000000006,0.01755149396791788,42,2
148,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,148,74.0,20,20,0,2070,64,0,-0.10674010000000012,-0.05337005000000006,0.017979602431702747,42,2
149,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,149,74.5,20,20,0,2080,64,0,-0.10770920000000012,-0.05385460000000006,0.017979602431702747,42,2
150,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,150,75.0,20,20,0,2090,64,0,-0.10867830000000012,-0.05433915000000006,0.017979602431702747,42,2
151,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,151,75.5,20,20,0,2100,64,0,-0.10915290000000012,-0.05457645000000006,0.017979602431702747,42,2
152,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,152,76.0,21,21,0,2110,64,0,-0.10962750000000013,-0.054813750000000064,0.017979602431702747,42,2
153,9.966765140431907,1.7979602431702748,4.983382570215953,0,0.0,0.0,153,76.5,21,21,0,2120,66,0,-0.11010210000000012,-0.05505105000000006,0.017979602431702747,42,2
154,10.80741897718771,1.9496104682391873,5.403709488593855,0,0.0,0.0,154,77.0,21,21,0,2130,66,0,-0.11059660000000013,-0.055298300000000064,0.019496104682391872,42,2
155,10.80741897718771,1.9496104682391873,5.403709488593855,0,0.0,0.0,155,77.5,22,22,0,2140,66,0,-0.11109110000000012,-0.05554555000000006,0.019496104682391872,42,2
